"","points","recProbs","distantProbs","deathProbs","frequencies"
"1",0,5.61429796003567,3.35162019233374,2.43158916419729,0
"2",1,6.59484277017834,4.03750514620175,2.94593139125974,0
"3",2,7.73950109999761,4.86018464054271,3.56706560769484,0
"4",3,9.07299437507125,5.84532154469211,4.31622296292642,0
"5",4,10.622706028239,7.0226564438906,5.21841258304896,0
"6",5,12.4185372368451,8.42631296555886,6.30288251560632,0.0930232558139535
"7",6,14.4925417934007,10.0949480518692,7.60352913000682,0.186046511627907
"8",7,16.8782531171734,12.0716375160087,9.15918435023447,0.465116279069767
"9",8,19.6095981175126,14.4033448221802,11.0136753582878,1.76744186046512
"10",9,22.7192776341206,17.139771066637,13.2155059690986,2.32558139534884
"11",10,26.2364875012821,20.3313313704687,15.816952776447,6.23255813953488
"12",11,30.1838673554735,24.0259583601871,18.8723056551733,8.46511627906977
"13",12,34.5736097416607,28.2644181670143,22.4349206656444,8.09302325581395
"14",13,39.4027575829388,33.0738738105874,26.5527136906745,9.86046511627907
"15",14,44.6478835141253,38.4595978714148,31.2617410973026,9.67441860465116
"16",15,50.259596441701,44.3950895958293,36.5776466126035,11.1627906976744
"17",16,56.1576610391008,50.8114609459974,42.4850814844347,9.95348837209302
"18",17,62.2279141180212,57.5878549074387,48.9258199945984,8.74418604651163
"19",18,68.3225304473992,64.5457712616295,55.7872622933911,7.62790697674419
"20",19,74.2653626690683,71.4512061753844,62.8943057516565,5.95348837209302
"21",20,79.8638071713288,78.0288455667356,70.0089055660475,5.48837209302326
"22",21,84.9276518337148,83.9912555109943,76.8423814475706,2.6046511627907
"23",22,89.2934756188714,89.0821524315344,83.0845659530712,1.2093023255814
"24",23,92.8505780504862,93.1262903871625,88.4499797007475,0.0930232558139535
"25",24,95.5619081959638,96.0711531384483,92.733860575303,0
"26",25,97.4724732439202,98.0020318377777,95.8618448942719,0
"27",26,98.6998149681319,99.117816098423,97.911606885586,0
"28",27,99.4068865970206,99.6716331040882,99.0899859524001,0
